Recipe and Tag reference

Available Tags:
0: 	untagged
885: 	FixWithGlue
886: 	RemovePropaneBottle
887: 	SharpenBlade
888: 	CarveGoblets
889: 	MillSeeds
890: 	DismantleMiscElectronics
891: 	MakeWoodenBarCastMold
892: 	PurifyWater
893: 	SewHideWallet
894: 	PackSetOfBooks
895: 	Forge_Metalworking_Pliers
896: 	Forge_Door_Knob
897: 	DryGreenpeas
898: 	ExtractIronFromMediumItem
899: 	Forge_Small_Metalworking_Punch_Set
900: 	DryLavender
901: 	CutUpLeather_Large
902: 	Scrap_Small_Gold_Object
903: 	remove_oxygen_tank
904: 	MakeKettleMaul
905: 	CreateBrainTan
906: 	FireClayMug
907: 	MakeStoneMaul
908: 	CutSheet
909: 	OpenDentedUnlabeledCanWithKnifeOrSharpStoneFlake
910: 	MakeSpikedClub
911: 	MakePigTuskEarrings
912: 	PressClayBrick
913: 	Forge_Silver_Sheets
914: 	SewTarpFannyBag
915: 	MakeStagHeadTrophy
916: 	Forge_Scissors
917: 	MakeTimer
918: 	Forge_Hinge
919: 	SewLongjohns
920: 	DryChamomile
921: 	SpinYarnFromWool
922: 	PressBlacksmithAnvilMold
923: 	MakeScrapMetalHelmet
924: 	SetCoffinFlat
925: 	AssembleLongerImplement
926: 	FireLimestoneLarge
927: 	SmashPigSkull
928: 	MakeBoneAwl
929: 	PressClayBrickManually
930: 	SewLongjohnsBottom
931: 	MakeTarpHeadSack
932: 	Assemble_Thigh_Armor
933: 	SewHideMask
934: 	DryParsley
935: 	Forge_Small_Copper_Sheet
936: 	Split_Gold_Bar
937: 	CarveSmallHandle
938: 	MakeBoneClub
939: 	SewNeckguard
940: 	KnitSweaterVest
941: 	CarveLongStick
942: 	MakeScrapMetalForearmArmor
943: 	AssembleShortImplement
944: 	FixWithZipties
945: 	CarveBat
946: 	MakeWoodenBlacksmithAnvilMold
947: 	MakeLongToothNecklace
948: 	Forge_Nails
949: 	MakeBoneFork
950: 	PackCannedFood
951: 	MakeOnigiri
952: 	SawCopperSheetIntoSmallSheets
953: 	Forge_Spade_Head
954: 	MakeStoneChisel
955: 	RollACigarette
956: 	FixWithAdhesiveTape
957: 	OpenBoxOfShotgunShells
958: 	MakeWoodenCrudeBenchVisePartsMold
959: 	SewHideHat
960: 	SewHideSack
961: 	MakeFirecracker
962: 	AssembleLongImplement
963: 	FireClaySheetMold
964: 	PrepareOmelette
965: 	GetWireBack
966: 	Carve2SmallHandles
967: 	DryRye
968: 	MakeBarbedWire
